i,r,reg_cap_cost_mult
csp1_8,p42079,1.0384
csp1_8,p20039,0.996
csp1_8,p46109,1.0182
csp1_8,p50019,1.0336
csp1_8,p05021,1.0099
csp1_8,p53073,1.0732
csp1_8,p13145,0.9913
csp1_8,p37199,0.9936
csp1_8,p54051,1.011
csp1_8,p21043,1.0016
csp1_8,p28105,0.991
csp1_8,p29099,1.0466
csp1_8,p18129,1.0143
csp1_8,p35057,1.0093
csp1_8,p12059,0.979
csp1_8,p01033,0.989
csp1_8,p06099,1.1037
csp1_8,p19089,1.0082
csp1_8,p06101,1.1126
csp1_8,p29159,1.0213
csp1_8,p39141,1.0027
csp1_8,p21211,0.9998
csp1_8,p54089,0.9985
csp1_8,p51173,0.9971
csp1_8,p48007,0.97
csp1_8,p18135,1.007
csp1_8,p22087,0.9946
csp1_8,p48277,0.9882
csp1_8,p13005,0.9815
csp1_8,p35061,1.01
csp1_8,p50027,1.0445
csp1_8,p51171,1.0142
csp1_8,p05103,0.9896
csp1_8,p54091,1.0113
csp1_8,p12007,0.9788
csp1_8,p12029,0.9763
csp1_8,p29161,1.0275
csp1_8,p21045,0.9974
csp1_8,p42075,1.0602
csp1_8,p31039,0.9957
csp1_8,p01075,0.9877
csp1_8,p05145,0.9925
csp1_8,p56009,0.999
csp1_8,p21209,0.9963
csp1_8,p21041,0.9985
csp1_8,p22079,0.9833
csp1_8,p31089,1.0023
csp1_8,p05087,0.9994
csp1_8,p42067,1.0495
csp1_8,p37143,1.0182
csp1_8,p46115,1.0106
csp1_8,p46041,1.0059
csp1_8,p01009,0.9846
csp1_8,p26023,1.0283
csp1_8,p27131,1.0427
csp1_8,p19109,1.0169
csp1_8,p48403,0.9764
csp1_8,p05085,0.9905
csp1_8,p42111,1.0204
csp1_8,p54047,1.0009
csp1_8,p39045,1.0067
csp1_8,p17035,1.0252
csp1_8,p48179,0.992
csp1_8,p08085,1.0045
csp1_8,p35033,1.0049
csp1_8,p20031,1.0083
csp1_8,p21031,1.0004
csp1_8,p21197,0.997
csp1_8,p29173,1.0325
csp1_8,p01031,0.9822
csp1_8,p47049,0.996
csp1_8,p22109,0.9944
csp1_8,p40113,0.9918
csp1_8,p31147,1.0057
csp1_8,p05013,0.99
csp1_8,p13163,0.9882
csp1_8,p18095,1.0066
csp1_8,p53069,1.0666
csp1_8,p09110,1.0719
csp1_8,p42113,1.0454
csp1_8,p48287,0.9685
csp1_8,p42115,1.0413
csp1_8,p51179,1.0099
csp1_8,p48177,0.9703
csp1_8,p01133,0.985
csp1_8,p12099,0.981
csp1_8,p21195,1.0015
csp1_8,p38017,1.0154
csp1_8,p27003,1.0482
csp1_8,p51015,1.0069
csp1_8,p54099,1.0055
csp1_8,p20123,0.9965
csp1_8,p13165,0.9857
csp1_8,p30027,0.9944
csp1_8,p21103,0.9994
csp1_8,p35031,1.0135
csp1_8,p47139,0.9941
csp1_8,p28031,0.9866
csp1_8,p22111,0.9888
csp1_8,p46099,1.0094
csp1_8,p13293,0.9934
csp1_8,p39043,1.0293
csp1_8,p06111,1.0954
csp1_8,p37027,0.9922
csp1_8,p40111,0.9888
csp1_8,p37133,0.9999
csp1_8,p29089,1.0261
csp1_8,p18097,1.0005
csp1_8,p55129,1.0398
csp1_8,p13071,0.975
csp1_8,p39047,1.0019
csp1_8,p12101,0.98
csp1_8,p37135,0.9969
csp1_8,p06109,1.1054
csp1_8,p27059,1.0459
csp1_8,p28109,0.9872
csp1_8,p27133,1.0126
csp1_8,p40115,1.0023
csp1_8,p35037,1.0012
csp1_8,p29037,1.0258
csp1_8,p12031,0.9799
csp1_8,p20121,1.0239
csp1_8,p47181,0.9927
csp1_8,p18101,1.0066
csp1_8,p29171,1.0185
csp1_8,p26025,1.0226
csp1_8,p13161,0.9824
csp1_8,p26079,1.0294
csp1_8,p19105,1.0109
csp1_8,p54097,1.0059
csp1_8,p56011,1.0004
csp1_8,p05057,0.991
csp1_8,p42107,1.0637
csp1_8,p08095,0.9971
csp1_8,p39149,1.0098
csp1_8,p51810,1.034
csp1_8,p38015,1.01
csp1_8,p17107,1.0339
csp1_8,p51107,1.0114
csp1_8,p48353,0.9876
csp1_8,p28163,0.9877
csp1_8,p06053,1.1104
csp1_8,p42109,1.0532
csp1_8,p12061,0.9808
csp1_8,p48073,0.9765
csp1_8,p49007,1.0045
csp1_8,p08051,0.9994
csp1_8,p35035,1.0064
csp1_8,p37025,0.99
csp1_8,p26141,1.0322
csp1_8,p31083,0.996
csp1_8,p19107,1.0122
csp1_8,p22107,0.9876
csp1_8,p18099,1.0496
csp1_8,p05141,0.9941
csp1_8,p13009,0.9918
csp1_8,p48009,0.985
csp1_8,p46101,1.0138
csp1_8,p48181,0.9862
csp1_8,p50005,1.0363
csp1_8,p18093,1.0044
csp1_8,p55069,1.0375
csp1_8,p20125,0.998
csp1_8,p27061,1.0329
csp1_8,p51103,1.0322
csp1_8,p21105,1.0062
csp1_8,p40105,0.997
csp1_8,p42123,1.0313
csp1_8,p19115,1.0142
csp1_8,p31081,0.9969
csp1_8,p39039,1.0265
csp1_8,p22117,0.9905
csp1_8,p06051,1.1006
csp1_8,p17111,1.0847
csp1_8,p18087,1.0339
csp1_8,p37031,1.0069
csp1_8,p05107,0.9935
csp1_8,p29177,1.0257
csp1_8,p13067,0.9993
csp1_8,p06113,1.1138
csp1_8,p48465,0.9847
csp1_8,p01073,0.9867
csp1_8,p48483,0.9898
csp1_8,p35027,1.0078
csp1_8,p51041,1.0144
csp1_8,p13011,0.995
csp1_8,p21027,1.0022
csp1_8,p17033,1.0171
csp1_8,p48449,0.9881
csp1_8,p13169,0.993
csp1_8,p40103,0.9867
csp1_8,p48407,0.9642
csp1_8,p56039,1.0007
csp1_8,p38021,1.0113
csp1_8,p29039,1.014
csp1_8,p13313,0.9927
csp1_8,p22119,0.9848
csp1_8,p47053,1.001
csp1_8,p42125,1.0101
csp1_8,p48075,0.9881
csp1_8,p21191,0.9945
csp1_8,p20127,1.0008
csp1_8,p31151,0.9985
csp1_8,p27127,1.0256
csp1_8,p05139,0.9888
csp1_8,p54101,1.0044
csp1_8,p46095,1.0027
csp1_8,p48173,0.9904
csp1_8,p37131,1.0143
csp1_8,p05059,0.9909
csp1_8,p47179,0.9952
csp1_8,p18085,1.0368
csp1_8,p16043,1.0021
csp1_8,p28033,0.9963
csp1_8,p35025,0.9966
csp1_8,p48175,0.9711
csp1_8,p26081,1.0023
csp1_8,p42121,1.0272
csp1_8,p49009,1.002
csp1_8,p40109,0.9802
csp1_8,p39041,1.0122
csp1_8,p39151,1.0127
csp1_8,p18091,1.0813
csp1_8,p37029,1.0255
csp1_8,p48405,0.9758
csp1_8,p47051,0.9862
csp1_8,p31149,1.0004
csp1_8,p51105,0.9966
csp1_8,p01053,0.9839
csp1_8,p20029,0.9988
csp1_8,p50017,1.0389
csp1_8,p22113,0.9846
csp1_8,p28075,0.9868
csp1_8,p29175,1.0257
csp1_8,p30077,1.0009
csp1_8,p42117,1.0542
csp1_8,p13069,0.9805
csp1_8,p55105,1.0519
csp1_8,p19111,1.0204
csp1_8,p17109,1.0236
csp1_8,p35029,1.0154
csp1_8,p48033,0.9908
csp1_8,p21029,1.0004
csp1_8,p42105,1.0502
csp1_8,p31011,0.9993
csp1_8,p42119,1.0437
csp1_8,p41041,1.0638
csp1_8,p16009,1.0218
csp1_8,p21193,0.9986
csp1_8,p26021,1.0635
csp1_8,p05011,0.99
csp1_8,p28161,0.9942
csp1_8,p40107,0.9855
csp1_8,p13167,0.9875
csp1_8,p29087,1.0113
csp1_8,p22115,0.9795
csp1_8,p46097,1.0098
csp1_8,p19113,1.0045
csp1_8,p53031,1.0825
csp1_8,p18089,1.1074
csp1_8,p12001,0.9786
csp1_8,p48289,0.971
csp1_8,p28111,0.9841
csp1_8,p47141,0.9959
csp1_8,p30059,0.9934
csp1_8,p35028,1.009
csp1_8,p31043,0.999
csp1_8,p38019,1.0117
csp1_8,p13257,0.9943
csp1_8,p27129,1.033
csp1_8,p39153,1.0161
csp1_8,p42083,1.0383
csp1_8,p55039,1.0419
csp1_8,p17037,1.0747
csp1_8,p06105,1.1066
csp1_8,p53001,1.0302
csp1_8,p29165,1.0279
csp1_8,p05143,0.9985
csp1_8,p08071,0.9971
csp1_8,p22095,0.9978
csp1_8,p40125,0.9818
csp1_8,p27057,1.0305
csp1_8,p05017,0.9905
csp1_8,p48355,0.9738
csp1_8,p26029,1.0331
csp1_8,p13075,0.9758
csp1_8,p18115,0.994
csp1_8,p47135,0.9961
csp1_8,p39055,1.0214
csp1_8,p48281,0.9786
csp1_8,p42089,1.0616
csp1_8,p01081,0.9896
csp1_8,p51113,1.0128
csp1_8,p21205,0.9992
csp1_8,p35051,1.0114
csp1_8,p12049,0.98
csp1_8,p53027,1.0776
csp1_8,p51017,0.9998
csp1_8,p13155,0.9801
csp1_8,p01117,0.9879
csp1_8,p37017,0.9919
csp1_8,p28107,0.995
csp1_8,p40123,0.9844
csp1_8,p22097,0.9868
csp1_8,p42093,1.0573
csp1_8,p16007,1.0029
csp1_8,p17101,1.016
csp1_8,p21099,1
csp1_8,p49005,1.0018
csp1_8,p20115,0.9944
csp1_8,p26139,1.0059
csp1_8,p13261,0.9839
csp1_8,p05055,1.0069
csp1_8,p18113,1.0329
csp1_8,p53071,1.035
csp1_8,p42091,1.1011
csp1_8,p19099,1.006
csp1_8,p31041,0.998
csp1_8,p48399,0.9858
csp1_8,p31141,0.9973
csp1_8,p35049,1.0093
csp1_8,p21037,0.991
csp1_8,p48189,0.9927
csp1_8,p51175,1.0169
csp1_8,p01099,0.985
csp1_8,p28027,0.9939
csp1_8,p13315,0.983
csp1_8,p54093,1.014
csp1_8,p26077,1.0209
csp1_8,p40127,0.9899
csp1_8,p13153,0.988
csp1_8,p39057,1
csp1_8,p42085,1.0202
csp1_8,p19095,1.007
csp1_8,p17039,1.0356
csp1_8,p29163,1.0374
csp1_8,p17099,1.0582
csp1_8,p29095,1.0291
csp1_8,p22091,0.992
csp1_8,p29035,1.0181
csp1_8,p21207,0.997
csp1_8,p31139,1.0001
csp1_8,p51115,1.037
csp1_8,p39143,1.0295
csp1_8,p48397,0.985
csp1_8,p06057,1.1104
csp1_8,p20111,1.004
csp1_8,p30031,0.9978
csp1_8,p35055,1.0046
csp1_8,p31087,0.997
csp1_8,p13077,0.9977
csp1_8,p18121,1.0133
csp1_8,p18119,1.007
csp1_8,p12105,0.98
csp1_8,p47183,1.0019
csp1_8,p20037,1.0084
csp1_8,p38007,1.006
csp1_8,p01131,0.9859
csp1_8,p27139,1.0466
csp1_8,p37139,1.0198
csp1_8,p55131,1.0475
csp1_8,p22093,0.9965
csp1_8,p31015,1.0039
csp1_8,p19097,1.0164
csp1_8,p08053,1.0033
csp1_8,p18117,1.0033
csp1_8,p48279,0.9953
csp1_8,p48069,0.9951
csp1_8,p20113,0.9933
csp1_8,p13007,0.9758
csp1_8,p21039,1.0085
csp1_8,p27015,1.032
csp1_8,p46107,1.0073
csp1_8,p48191,0.9896
csp1_8,p37015,1.0128
csp1_8,p55057,1.0326
csp1_8,p35053,1.0099
csp1_8,p29003,1.018
csp1_8,p16049,1.0196
csp1_8,p12005,0.9768
csp1_8,p42087,1.039
csp1_8,p35047,1.0062
csp1_8,p38009,1.0086
csp1_8,p13291,0.9952
csp1_8,p40117,0.9881
csp1_8,p39049,1.0087
csp1_8,p42101,1.1093
csp1_8,p48285,0.967
csp1_8,p47047,0.9974
csp1_8,p13159,0.996
csp1_8,p51037,1.0032
csp1_8,p21101,1.0103
csp1_8,p35041,0.9996
csp1_8,p19103,1.0103
csp1_8,p20119,0.9931
csp1_8,p05105,0.9912
csp1_8,p47101,0.9943
csp1_8,p56037,1.0008
csp1_8,p27135,1.0244
csp1_8,p20033,0.9913
csp1_8,p21201,0.995
csp1_8,p29169,1.0225
csp1_8,p46103,1.0002
csp1_8,p05015,1.0025
csp1_8,p37021,0.9934
csp1_8,p18107,1.0114
csp1_8,p21035,1.0021
csp1_8,p18105,1.0048
csp1_8,p08117,0.9935
csp1_8,p13259,0.9847
csp1_8,p22103,0.9945
csp1_8,p16045,1.0121
csp1_8,p22105,0.9937
csp1_8,p31145,0.9961
csp1_8,p21199,0.997
csp1_8,p35039,1.0073
csp1_8,p21033,1.0034
csp1_8,p46102,1.0004
csp1_8,p18103,1.0251
csp1_8,p27033,1.0215
csp1_8,p29091,1.0109
csp1_8,p42103,1.0707
csp1_8,p40119,0.9844
csp1_8,p54015,1.0073
csp1_8,p51109,1.0125
csp1_8,p17105,1.0542
csp1_8,p48183,0.982
csp1_8,p37023,0.9917
csp1_8,p38013,1.0065
csp1_8,p06017,1.1098
csp1_8,p12003,0.9785
csp1_8,p26115,1.0363
csp1_8,p31013,0.999
csp1_8,p48401,0.9791
csp1_8,p51177,1.0124
csp1_8,p28029,0.988
csp1_8,p22101,0.9913
csp1_8,p39147,1.0251
csp1_8,p48035,0.98
csp1_8,p48283,0.9783
csp1_8,p29167,1.0146
csp1_8,p40121,0.9887
csp1_8,p13157,0.996
csp1_8,p22099,0.9903
csp1_8,p26027,1.0436
csp1_8,p20035,0.9919
csp1_8,p12103,0.98
csp1_8,p31143,0.997
csp1_8,p16047,1.0154
csp1_8,p19101,1.016
csp1_8,p48071,0.9623
csp1_8,p30057,1.0028
csp1_8,p39053,1.006
csp1_8,p31085,0.997
csp1_8,p51111,1.0084
csp1_8,p21203,0.997
csp1_8,p18111,1.0685
csp1_8,p39145,1.0008
csp1_8,p48451,0.9862
csp1_8,p46105,1.0038
csp1_8,p27137,1.0339
csp1_8,p29093,1.0304
csp1_8,p28077,0.9882
csp1_8,p42095,1.0926
csp1_8,p53029,1.0862
csp1_8,p01051,0.9878
csp1_8,p48187,0.973
csp1_8,p42099,1.0488
csp1_8,p47045,1.0036
csp1_8,p06055,1.1273
csp1_8,p06107,1.0932
csp1_8,p30029,1.0106
csp1_8,p38011,1.0042
csp1_8,p17103,1.0461
csp1_8,p35043,1.0095
csp1_8,p37137,1.0084
csp1_8,p47137,0.9968
csp1_8,p48185,0.9646
csp1_8,p37019,0.9904
csp1_8,p54049,1.01
csp1_8,p39051,1.0294
csp1_8,p13073,0.9902
csp1_8,p42097,1.0582
csp1_8,p16077,1.0054
csp1_8,p49039,1.0083
csp1_8,p18109,1.0028
csp1_8,p56027,0.999
csp1_8,p29001,1.0216
csp1_8,p48485,0.985
csp1_8,p54095,1.0068
csp1_8,p20117,1.0054
csp1_8,p30091,1.0051
csp1_8,p35045,1.0126
csp1_8,p13137,0.9953
csp1_8,p53023,1.0272
csp1_8,p06069,1.1102
csp1_8,p31115,0.998
csp1_8,p48231,0.9861
csp1_8,p19009,1.0004
csp1_8,p30081,1.0116
csp1_8,p55141,1.036
csp1_8,p13275,0.972
csp1_8,p51143,0.9946
csp1_8,p19053,1.014
csp1_8,p47025,0.996
csp1_8,p28093,0.9957
csp1_8,p20079,0.9911
csp1_8,p29113,1.0427
csp1_8,p41071,1.0611
csp1_8,p47007,0.9936
csp1_8,p05091,0.9888
csp1_8,p05035,0.9984
csp1_8,p53015,1.0641
csp1_8,p31027,1.0015
csp1_8,p37157,0.9945
csp1_8,p13117,0.9978
csp1_8,p01015,0.9894
csp1_8,p31101,0.9976
csp1_8,p54073,1.0063
csp1_8,p41023,1.0378
csp1_8,p19051,1.0175
csp1_8,p16069,1.0255
csp1_8,p29131,1.0223
csp1_8,p36057,1.0594
csp1_8,p48045,0.9913
csp1_8,p21065,0.997
csp1_8,p21239,0.9973
csp1_8,p06083,1.0952
csp1_8,p12121,0.9758
csp1_8,p48257,0.9838
csp1_8,p21083,1.0052
csp1_8,p48501,0.9946
csp1_8,p17073,1.0154
csp1_8,p28085,0.9885
csp1_8,p42003,1.0135
csp1_8,p41021,1.0527
csp1_8,p08061,0.9952
csp1_8,p48379,0.9854
csp1_8,p36055,1.0494
csp1_8,p05045,0.991
csp1_8,p01037,0.9885
csp1_8,p12055,0.98
csp1_8,p30085,1.0035
csp1_8,p29027,1.0324
csp1_8,p42001,1.0324
csp1_8,p54003,1.0171
csp1_8,p22035,0.9883
csp1_8,p26051,1.0247
csp1_8,p36101,1.0518
csp1_8,p27167,1.0203
csp1_8,p49047,1.0032
csp1_8,p19007,1.0167
csp1_8,p47121,0.9938
csp1_8,p37175,0.9933
csp1_8,p16061,1.0252
csp1_8,p41025,1.0453
csp1_8,p48235,0.9877
csp1_8,p01013,0.9849
csp1_8,p12131,0.9803
csp1_8,p37173,0.9949
csp1_8,p13115,0.9928
csp1_8,p21081,0.995
csp1_8,p41067,1.0605
csp1_8,p36097,1.0479
csp1_8,p51027,1.0003
csp1_8,p29019,1.0283
csp1_8,p08109,0.9986
csp1_8,p20075,0.9955
csp1_8,p19015,1.007
csp1_8,p48499,0.9854
csp1_8,p05095,0.993
csp1_8,p50025,1.0569
csp1_8,p17069,1.0115
csp1_8,p36065,1.0408
csp1_8,p12021,0.981
csp1_8,p26127,1.0223
csp1_8,p26063,1.0312
csp1_8,p21069,0.9973
csp1_8,p22029,0.9873
csp1_8,p29129,1.0173
csp1_8,p26053,1.0371
csp1_8,p19049,1.0069
csp1_8,p22033,0.9921
csp1_8,p36063,1.0548
csp1_8,p27169,1.028
csp1_8,p17071,1.018
csp1_8,p30043,1.0003
csp1_8,p36059,1.1751
csp1_8,p30049,0.9957
csp1_8,p22001,0.9843
csp1_8,p19011,0.9983
csp1_8,p39097,1.0065
csp1_8,p13097,0.9988
csp1_8,p20057,0.9932
csp1_8,p41069,1.0505
csp1_8,p20077,0.991
csp1_8,p48233,0.9937
csp1_8,p48255,0.9725
csp1_8,p50023,1.0328
csp1_8,p28009,0.9957
csp1_8,p36099,1.0405
csp1_8,p06081,1.1501
csp1_8,p47119,0.9955
csp1_8,p39099,1.0145
csp1_8,p22031,0.9812
csp1_8,p47009,0.995
csp1_8,p51159,1.0255
csp1_8,p01121,0.9891
csp1_8,p19013,0.9907
csp1_8,p39119,1.0065
csp1_8,p48053,0.9768
csp1_8,p21067,0.9963
csp1_8,p01079,0.9846
csp1_8,p22037,0.9913
csp1_8,p29133,1.0113
csp1_8,p47189,0.9991
csp1_8,p41015,1.0833
csp1_8,p01043,0.9836
csp1_8,p42013,1.032
csp1_8,p20083,0.9941
csp1_8,p06085,1.1242
csp1_8,p48259,0.9772
csp1_8,p30041,0.9963
csp1_8,p39123,1.033
csp1_8,p47003,0.9925
csp1_8,p13273,0.9804
csp1_8,p18183,1.0294
csp1_8,p05097,0.9922
csp1_8,p19059,1.016
csp1_8,p39091,1.0118
csp1_8,p42011,1.0778
csp1_8,p54009,1.0097
csp1_8,p01077,0.9885
csp1_8,p48227,0.9906
csp1_8,p36049,1.0456
csp1_8,p31035,0.9961
csp1_8,p48461,0.9915
csp1_8,p36105,1.0824
csp1_8,p31099,0.996
csp1_8,p48381,0.9935
csp1_8,p22041,0.987
csp1_8,p16059,1.0122
csp1_8,p21063,1.0018
csp1_8,p12133,0.9772
csp1_8,p21235,0.9964
csp1_8,p17077,1.0281
csp1_8,p36045,1.0462
csp1_8,p19061,1.0145
csp1_8,p30051,0.9954
csp1_8,p36107,1.0494
csp1_8,p48225,0.9712
csp1_8,p41013,1.0559
csp1_8,p42015,1.0489
csp1_8,p12119,0.98
csp1_8,p37181,1.0006
csp1_8,p13123,0.995
csp1_8,p06067,1.1109
csp1_8,p18181,1.0398
csp1_8,p21085,1.0003
csp1_8,p51139,1.0131
csp1_8,p28095,0.9904
csp1_8,p51029,1.0073
csp1_8,p36047,1.2053
csp1_8,p31119,0.9985
csp1_8,p27163,1.0494
csp1_8,p13093,0.9853
csp1_8,p08091,1.0035
csp1_8,p29137,1.0285
csp1_8,p48043,0.991
csp1_8,p22043,0.9839
csp1_8,p55047,1.0404
csp1_8,p17053,1.0478
csp1_8,p01125,0.9874
csp1_8,p29111,1.025
csp1_8,p29135,1.0248
csp1_8,p19003,1.0031
csp1_8,p47111,0.999
csp1_8,p06003,1.1067
csp1_8,p36103,1.1195
csp1_8,p48229,1.0037
csp1_8,p53007,1.0675
csp1_8,p42007,1.0112
csp1_8,p41019,1.0717
csp1_8,p37177,1.018
csp1_8,p36053,1.0372
csp1_8,p54061,1.0126
csp1_8,p48367,0.9835
csp1_8,p27047,1.0243
csp1_8,p31117,0.9982
csp1_8,p12015,0.98
csp1_8,p16001,1.0105
csp1_8,p39095,1.0327
csp1_8,p19055,1.0056
csp1_8,p13283,0.9858
csp1_8,p13119,0.9942
csp1_8,p47005,0.9987
csp1_8,p42005,1.0245
csp1_8,p29017,1.0257
csp1_8,p39121,1.0064
csp1_8,p17055,1.0287
csp1_8,p48493,0.9737
csp1_8,p19005,1.014
csp1_8,p41017,1.061
csp1_8,p47027,0.997
csp1_8,p28011,0.9923
csp1_8,p55089,1.048
csp1_8,p37155,0.9912
csp1_8,p37179,0.99
csp1_8,p19001,1.005
csp1_8,p13121,0.9995
csp1_8,p19057,1.0166
csp1_8,p20055,0.995
csp1_8,p39093,1.0269
csp1_8,p51161,0.9904
csp1_8,p42009,1.0217
csp1_8,p17075,1.0566
csp1_8,p05033,0.9957
csp1_8,p51141,0.9926
csp1_8,p26065,1.025
csp1_8,p21237,0.998
csp1_8,p50001,1.0331
csp1_8,p26129,1.0282
csp1_8,p54075,1.0021
csp1_8,p48055,0.9713
csp1_8,p20081,0.9946
csp1_8,p26049,1.0315
csp1_8,p27165,1.0279
csp1_8,p13095,0.978
csp1_8,p27009,1.0419
csp1_8,p22039,0.9841
csp1_8,p48457,0.9694
csp1_8,p36051,1.0508
csp1_8,p22003,0.9808
csp1_8,p54071,1.0109
csp1_8,p20059,1.0196
csp1_8,p16067,1.0096
csp1_8,p55099,1.0371
csp1_8,p19029,1
csp1_8,p28001,0.9881
csp1_8,p48249,0.976
csp1_8,p47021,1
csp1_8,p26125,1.0372
csp1_8,p41049,1.0467
csp1_8,p29123,1.03
csp1_8,p54065,1.018
csp1_8,p39109,1.005
csp1_8,p20063,0.9959
csp1_8,p37167,0.9909
csp1_8,p36089,1.0378
csp1_8,p19031,1.0119
csp1_8,p28005,0.9901
csp1_8,p28089,0.987
csp1_8,p22017,0.9842
csp1_8,p55051,1.037
csp1_8,p13107,0.9861
csp1_8,p13279,0.9844
csp1_8,p41037,1.063
csp1_8,p01103,0.9819
csp1_8,p41047,1.061
csp1_8,p20067,0.995
csp1_8,p39113,0.9991
csp1_8,p47015,0.9962
csp1_8,p31105,0.9983
csp1_8,p36077,1.0566
csp1_8,p22009,0.9861
csp1_8,p26061,1.037
csp1_8,p13109,0.984
csp1_8,p37161,0.9917
csp1_8,p36091,1.0501
csp1_8,p48373,0.967
csp1_8,p36075,1.036
csp1_8,p48047,0.9778
csp1_8,p21073,0.998
csp1_8,p31109,0.9949
csp1_8,p19027,1.0037
csp1_8,p41035,1.0732
csp1_8,p48497,0.9844
csp1_8,p26057,1.0184
csp1_8,p08089,0.995
csp1_8,p39107,1.0132
csp1_8,p05039,0.99
csp1_8,p19041,1.0118
csp1_8,p12129,0.9708
csp1_8,p54007,1.0054
csp1_8,p41051,1.0603
csp1_8,p22019,0.9748
csp1_8,p48495,0.9933
csp1_8,p01123,0.9895
csp1_8,p48243,0.9972
csp1_8,p13281,0.995
csp1_8,p48459,0.9859
csp1_8,p17065,1.0239
csp1_8,p19043,1.0076
csp1_8,p06073,1.0872
csp1_8,p37163,0.9972
csp1_8,p17061,1.0425
csp1_8,p41039,1.0649
csp1_8,p41045,1.0254
csp1_8,p05093,1.0034
csp1_8,p31031,1.0016
csp1_8,p41043,1.0621
csp1_8,p28003,0.994
csp1_8,p36087,1.152
csp1_8,p48371,0.9911
csp1_8,p31107,1.0024
csp1_8,p37165,0.9913
csp1_8,p48049,0.9828
csp1_8,p19033,1.007
csp1_8,p19035,1.0033
csp1_8,p36083,1.0705
csp1_8,p01039,0.9828
csp1_8,p48247,0.9788
csp1_8,p19037,0.9999
csp1_8,p26059,1.0282
csp1_8,p20065,0.9952
csp1_8,p30083,1.0046
csp1_8,p22013,0.9841
csp1_8,p39111,1.0069
csp1_8,p05041,0.9915
csp1_8,p29023,1.0153
csp1_8,p47019,0.9949
csp1_8,p55073,1.0377
csp1_8,p36079,1.1237
csp1_8,p17063,1.0785
csp1_8,p29119,1.0031
csp1_8,p06007,1.1121
csp1_8,p54067,1.0047
csp1_8,p12053,0.98
csp1_8,p56031,0.999
csp1_8,p51153,1.0081
csp1_8,p19039,1.0113
csp1_8,p27043,1.0245
csp1_8,p13103,0.9831
csp1_8,p53011,1.0605
csp1_8,p48245,0.9661
csp1_8,p06075,1.1595
csp1_8,p47017,0.9992
csp1_8,p13105,0.9929
csp1_8,p27011,1.0211
csp1_8,p36081,1.198
csp1_8,p21077,0.9945
csp1_8,p22011,0.9768
csp1_8,p21075,1.0067
csp1_8,p48003,0.9926
csp1_8,p12019,0.9795
csp1_8,p51155,0.9934
csp1_8,p29121,1.0234
csp1_8,p30047,1.0101
csp1_8,p22015,0.9847
csp1_8,p51025,1.0114
csp1_8,p47115,0.989
csp1_8,p12127,0.98
csp1_8,p06077,1.1082
csp1_8,p56001,0.9987
csp1_8,p20069,0.9941
csp1_8,p20073,0.9971
csp1_8,p05037,0.9973
csp1_8,p47011,0.993
csp1_8,p19019,0.9955
csp1_8,p48253,0.9869
csp1_8,p27041,1.0278
csp1_8,p39117,1.0163
csp1_8,p41061,1.0318
csp1_8,p48001,0.9765
csp1_8,p47113,0.9984
csp1_8,p28091,0.9878
csp1_8,p06071,1.0798
csp1_8,p19047,0.9998
csp1_8,p36069,1.0462
csp1_8,p06079,1.0982
csp1_8,p31111,0.9976
csp1_8,p06009,1.1072
csp1_8,p29127,1.0283
csp1_8,p37171,0.9931
csp1_8,p13319,0.9898
csp1_8,p12017,0.9798
csp1_8,p22025,0.9865
csp1_8,p13277,0.978
csp1_8,p53013,1.0302
csp1_8,p48369,0.9974
csp1_8,p41059,1.0385
csp1_8,p22005,0.995
csp1_8,p47023,0.9966
csp1_8,p27171,1.0451
csp1_8,p22027,0.9854
csp1_8,p49045,1.009
csp1_8,p51145,1.0128
csp1_8,p12123,0.973
csp1_8,p41027,1.0611
csp1_8,p41065,1.0603
csp1_8,p37159,0.9908
csp1_8,p17057,1.0267
csp1_8,p29115,1.0228
csp1_8,p16063,1.014
csp1_8,p19017,0.9929
csp1_8,p48237,0.9847
csp1_8,p41029,1.0811
csp1_8,p55049,1.0304
csp1_8,p48377,0.9982
csp1_8,p39101,1.016
csp1_8,p31113,0.998
csp1_8,p54063,0.9948
csp1_8,p41063,1.0272
csp1_8,p13099,0.9769
csp1_8,p13113,0.9987
csp1_8,p27045,1.0195
csp1_8,p36067,1.0313
csp1_8,p06005,1.1094
csp1_8,p36095,1.0666
csp1_8,p51023,0.9917
csp1_8,p29025,1.0227
csp1_8,p01041,0.9841
csp1_8,p48375,0.9947
csp1_8,p28007,0.991
csp1_8,p19021,1.0066
csp1_8,p27173,1.023
csp1_8,p54005,1.0077
csp1_8,p08063,0.9952
csp1_8,p48251,0.9818
csp1_8,p36073,1.0519
csp1_8,p56003,1
csp1_8,p30045,0.9924
csp1_8,p53009,1.0798
csp1_8,p19025,1.007
csp1_8,p08065,0.9953
csp1_8,p37169,0.993
csp1_8,p22007,0.9943
csp1_8,p41055,1.0587
csp1_8,p29021,1.0236
csp1_8,p51149,1.017
csp1_8,p39115,1.0059
csp1_8,p31033,0.998
csp1_8,p39105,1.0061
csp1_8,p29117,1.0229
csp1_8,p22021,0.9866
csp1_8,p41033,1.0834
csp1_8,p41053,1.0619
csp1_8,p16065,1.004
csp1_8,p48241,0.9716
csp1_8,p08121,0.9947
csp1_8,p28087,0.988
csp1_8,p29125,1.0268
csp1_8,p47013,0.996
